"REQ. TIME","DEVICE ID","IP ADDRESS","LOCATION","COUNTRY","CARRIER","APP BUNDLE","MAKE","MODEL","CONNECTION TYPE","GEO TYPE"
"2025-02-12 20:47:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.799904, 73.95243","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-09-13 05:03:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-13 05:03:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-09-06 05:08:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.113.103.210","31.5761, 74.4247","PK","WAYLINK","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-10-08 05:29:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","103.137.24.197","33.151268, 73.737915","PK","Special Communication Organization","com.blued.international","Infinix","X680B","Wifi","GPS/Location Services"
"2025-01-05 04:36:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.54, 74.51","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 20:31:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.198.68.166","32.839577, 74.04892","pk","pakistan mobile communication limited","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-10-08 15:22:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-09-08 05:13:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.175.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-06 05:08:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.113.103.210","31.5761, 74.4247","PK","WAYLINK","com.dubox.drive","samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-12-20 05:27:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 20:48:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.799904, 73.95243","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2025-01-05 04:33:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-08-25 05:15:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.171.249","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-08-25 05:15:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.171.249","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 20:31:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.198.68.166","32.839577, 74.04892","pk","pakistan mobile communication limited","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2025-01-05 04:38:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.54, 74.51","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-07 05:22:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.187.100","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-10-08 05:29:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","103.137.24.5","33.151268, 73.737915","PK","Special Communication Organization","com.blued.international","Infinix","X680B","Wifi","GPS/Location Services"
"2025-02-12 20:48:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.799904, 73.95243","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2025-01-05 04:34:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.54, 74.51","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 20:47:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.799904, 73.95243","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-20 05:27:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-08 05:14:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.175.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-08 05:12:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.186.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-08-25 05:17:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.185.225","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-09-07 05:22:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.187.100","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-10-08 15:22:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-08-25 05:17:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.185.225","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-13 05:03:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
